raw_weighted_beta_variance,de_weighted_beta_variance,variance_reduction_fraction,raw_n_bins,de_n_bins,draw,n_gauges
0.4232525462242687,0.4075704736624367,0.037051336611505135,24,20,116,150
0.328954339501463,0.3241556304184297,0.014587766467242401,24,21,117,150
0.3346237019125405,0.29119843042149685,0.12977344773501298,24,19,118,150
0.36409700520404414,0.3451552978742166,0.0520237932723791,24,20,119,150
0.34175108648759844,0.3300349909650489,0.034282540672989775,24,21,120,150
0.33507629215737783,0.2681838883331694,0.1996333533283535,24,21,121,150
0.33470471479174824,0.3023772554692946,0.09658501327824923,24,21,122,150
0.32060357026240655,0.3472786866120124,-0.08320280503355867,24,19,123,150
0.3537787308512095,0.3543184697965843,-0.0015256398938291362,24,20,124,150
0.4222638085754361,0.39824649402727147,0.05687751131026428,24,20,125,150
0.3905493569441504,0.32455200216994806,0.16898595171324304,24,20,126,150
0.3310997767402761,0.33152132192480854,-0.0012731666227100474,24,19,127,150
0.3498493400282727,0.33579387829352636,0.04017575603718586,24,19,128,150
0.39420378055771443,0.351770904923199,0.10764198043580894,24,20,129,150
0.30803340115118594,0.27654566697183064,0.10222181770444043,24,20,130,150
0.4132633998475028,0.39131797591433565,0.053102752242916246,24,21,131,150
0.4285549486029006,0.386257578064425,0.09869765983654147,24,20,132,150
0.3750113351825659,0.2910998811215939,0.22375711395529307,24,20,133,150
0.32548559851828235,0.2521133266456394,0.2254240193933547,24,21,134,150
0.31037859695134445,0.27234964184616167,0.12252441205262705,24,20,135,150
0.31081318823254644,0.2808911646441395,0.0962701221224232,24,20,136,150
0.36442500015981477,0.3298005230774577,0.09501125627268396,24,20,137,150
0.30883111828327664,0.2934367085191614,0.04984734002742116,24,20,138,150
0.36611302086514463,0.33073173656528254,0.09664033313061149,24,19,139,150
0.3514716873496643,0.29801299443057283,0.15209957115523692,24,21,140,150
0.36065298452009403,0.34630644059501725,0.03977935727931694,24,19,141,150
0.3463334585643539,0.3143843301237025,0.09224961565391111,24,20,142,150
0.31611631197606826,0.28532292917463864,0.09741155908386294,24,19,143,150
0.374208846620685,0.3338643192501424,0.10781286368528213,24,19,144,150
0.42223759590070076,0.41250147461299336,0.023058395041632155,24,20,145,150
0.3190207795289433,0.3045554986094548,0.045342754603156316,24,19,146,150
0.37179124584223194,0.36918783809284134,0.007002337409782242,24,18,147,150
0.3733946898029237,0.33451558041510754,0.10412335914133215,24,19,148,150
0.32732093897088793,0.2749090642262548,0.1601238066511067,24,20,149,150
0.3363803023975321,0.3046002206923551,0.0944766428909963,24,20,150,150
0.37023477419856715,0.30364893268949195,0.17984761602475346,24,20,151,150
0.3680717669459528,0.3575978529032505,0.0284561734511961,24,20,152,150
0.32973830619048716,0.2675217062491489,0.18868478054653512,24,20,153,150
0.3006454193781781,0.2936095219829526,0.02340264291994805,24,20,154,150
0.29863136510555743,0.28609281099372136,0.04198672871285327,24,19,155,150
0.3069821819242562,0.292896648964187,0.04588387792339238,24,20,156,150
0.35495079391635603,0.32436069932736283,0.08618122599889645,24,20,157,150
0.2627491809347039,0.26394950597454964,-0.004568330282041998,24,19,158,150
0.3745796650041206,0.3593422883106759,0.040678600887950216,24,20,159,150
0.3955755818428188,0.38331363007393554,0.03099774690783504,24,20,160,150
0.340269633153109,0.36484450916844374,-0.07222177244443366,24,20,161,150
0.44252205089840463,0.38485631748852406,0.13031154784898985,24,20,162,150
0.3633747186821224,0.3312645153905833,0.08836664093747493,24,20,163,150
0.29551288164116274,0.2601455294374945,0.11968125385009208,24,20,164,150
0.37083654533306215,0.3124226927420705,0.15751913700557202,24,20,165,150
0.3856005883583455,0.32571361301302876,0.1553083090466208,24,20,166,150
0.3631517446384599,0.30090515217837505,0.1714065631766555,24,19,167,150
0.35117314151281387,0.3435920666126001,0.021587855117721565,24,19,168,150
0.3526653541978616,0.2583549453091735,0.26742181438037027,24,20,169,150
0.2846966460989751,0.24592465152258564,0.13618704367493792,24,19,170,150
0.4063007303919136,0.3520762599067224,0.13345895399421706,24,20,171,150
0.37351586042471974,0.3923279345778606,-0.050364860361618635,24,19,172,150
0.4021342500519715,0.3886083075646859,0.03363539038402606,24,19,173,150
0.3304964285037335,0.31868516701519467,0.0357379398682531,24,19,174,150
0.27855521856042587,0.26695077464046113,0.04165940232581724,24,19,175,150
0.28969897171539377,0.29890645877344374,-0.031782946979513595,24,19,176,150
0.3541907082413189,0.29126293269726494,0.17766636470084834,24,21,177,150
0.32158800247555125,0.3113239052164054,0.03191691599230656,24,20,178,150
