series_id,scenario_group,target_tau_days,replicate,tau_acf_days,frequency,frequency_cpd,de,beta
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.9839409722222236e-06,0.2578125000000001,0.5032613111871066,1.262706256213315
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.029152199074075e-06,0.26171875000000006,0.5108864825687293,1.262706256213315
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.0743634259259255e-06,0.26562499999999994,0.5185116539503519,1.2534557005971876
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.1195746527777775e-06,0.26953125,0.5261368253319748,1.2534557005971876
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.164785879629628e-06,0.27343749999999983,0.5337619967135974,1.2534557005971876
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.2099971064814803e-06,0.2773437499999999,0.5413871680952203,1.2439633158836603
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.2552083333333344e-06,0.2812500000000001,0.5490123394768435,1.2439633158836603
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.300419560185182e-06,0.2851562499999997,0.5566375108584656,1.2439633158836603
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.3456307870370346e-06,0.2890624999999998,0.5642626822400885,1.2382211391045905
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.3908420138888866e-06,0.2929687499999998,0.5718878536217114,1.2382211391045905
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.436053240740738e-06,0.2968749999999998,0.5795130250033341,1.2382211391045905
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.481264467592593e-06,0.30078125000000006,0.5871381963849575,1.2269281368942655
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.5264756944444447e-06,0.3046875,0.5947633677665802,1.2269281368942655
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.5716869212962967e-06,0.30859375000000006,0.6023885391482031,1.2221044955457052
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.6168981481481466e-06,0.3124999999999999,0.6100137105298256,1.2221044955457052
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.6621093750000024e-06,0.3164062500000002,0.6176388819114491,1.2221044955457052
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.707320601851849e-06,0.3203124999999997,0.625264053293071,1.2274897906427449
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.752531828703707e-06,0.3242187500000003,0.6328892246746949,1.2274897906427449
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.7977430555555554e-06,0.328125,0.6405143960563171,1.2274897906427449
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.842954282407405e-06,0.33203124999999983,0.6481395674379397,1.2248461387801066
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.888165509259261e-06,0.33593750000000017,0.6557647388195631,1.2248461387801066
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.9333767361111136e-06,0.3398437500000002,0.663389910201186,1.2248461387801066
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.978587962962964e-06,0.3437500000000001,0.6710150815828086,1.2263578128749262
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.023799189814816e-06,0.3476562500000001,0.6786402529644314,1.2263578128749262
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.069010416666667e-06,0.3515625,0.6862654243460541,1.2263578128749262
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.114221643518517e-06,0.3554687499999999,0.6938905957276768,1.2332939916653667
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.15943287037037e-06,0.35937499999999994,0.7015157671092996,1.2332939916653667
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.204644097222224e-06,0.36328125000000017,0.7091409384909229,1.2332939916653667
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.249855324074076e-06,0.36718750000000017,0.7167661098725457,1.229814505206118
