gauge_id,n_models,rank_kendall_tau_nse_vs_beta,rank_kendall_p,best_nse_model,best_beta_model,best_nse_is_best_beta
28026,5,0.6,0.23333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
28031,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
28033,5,-0.39999999999999997,0.48333333333333334,global_lstm,seasonal_ar1_null,False
28040,4,0.3333333333333334,0.75,global_lstm,rrmpg_hbvedu,False
28044,4,0.0,1.0,rrmpg_gr4j,seasonal_ar1_null,False
28046,4,-0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_gr4j,False
28048,4,1.0,0.08333333333333333,global_lstm,global_lstm,True
28050,4,-0.6666666666666669,0.3333333333333333,rrmpg_gr4j,seasonal_climatology,False
28052,5,0.39999999999999997,0.48333333333333334,global_lstm,global_lstm,True
28055,5,-0.19999999999999998,0.8166666666666667,global_lstm,seasonal_climatology,False
28056,5,0.39999999999999997,0.48333333333333334,global_lstm,global_lstm,True
28060,5,0.19999999999999998,0.8166666666666667,rrmpg_gr4j,seasonal_climatology,False
28066,5,0.6,0.23333333333333334,global_lstm,rrmpg_gr4j,False
28067,5,0.39999999999999997,0.48333333333333334,global_lstm,rrmpg_hbvedu,False
28072,5,-0.19999999999999998,0.8166666666666667,global_lstm,seasonal_climatology,False
28074,4,0.0,1.0,rrmpg_hbvedu,seasonal_ar1_null,False
28080,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_gr4j,False
28081,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_hbvedu,True
28082,5,-0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,global_lstm,False
28085,4,0.0,1.0,global_lstm,rrmpg_gr4j,False
28091,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
28093,4,0.0,1.0,rrmpg_hbvedu,seasonal_ar1_null,False
28115,5,-0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,seasonal_ar1_null,False
28116,4,0.0,1.0,rrmpg_hbvedu,rrmpg_gr4j,False
28117,4,0.3333333333333334,0.75,seasonal_climatology,global_lstm,False
29002,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
29003,4,0.3333333333333334,0.75,rrmpg_gr4j,rrmpg_gr4j,True
29005,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
29009,4,-0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
30001,4,0.6666666666666669,0.3333333333333333,rrmpg_gr4j,rrmpg_gr4j,True
